id;cím;szerző
DR-184;Titkok és Visszhang;William Kovács
DR-185;Hazugság és Visszhang;Isabella Harris
DR-186;Könnyek és Bűn;Charlotte Farkas
DR-187;Emlékezet és Áldozat;Péter Horváth
DR-188;Árulás és Veszteség;Ava Thomas
DR-189;Család és Sors;William Farkas
DR-190;Út és Bűn;Anna Jackson
DR-191;Búcsú és Ígéret;Charlotte Williams
DR-192;Szerelem és Szenvedély;László Jackson
DR-193;Szavak és Remény;Olivia Farkas
DR-194;Idegen és Hallgatás;William Smith
DR-195;Fájdalom és Szavak;Zsuzsanna Rodriguez
DR-196;Remény és Remény;Olivia Nagy
DR-197;Hazugság és Remény;Ava Tóth
DR-198;Szenvedély és Árulás;Eszter Thompson
DR-199;Hazugság és Árulás;Mária White
DR-200;Visszhang és Áldozat;Katalin Farkas
DR-201;Árulás és Veszteség;Amelia Varga
DR-202;Bocsánat és Bűn;Mihály Tóth
DR-203;Visszatérés és Igazság;Robert Kiss
DR-204;Titkok és Árulás;Thomas Rodriguez
DR-205;Szerelem és Visszhang;Eszter Varga
DR-206;Fájdalom és Visszhang;Zsuzsanna Jones
DR-207;Szenvedély és Visszhang;Joseph Varga
DR-208;Áldozat és Remény;Anna Rodriguez
DR-209;Visszatérés és Ígéret;Olivia White
DR-210;Gyász és Bűn;Olivia Martinez
DR-211;Remény és Találkozás;Éva Williams
DR-212;Út és Visszatérés;Anna Németh
DR-213;Ígéret és Titkok;Ágnes Johnson
DR-214;Idegen és Ígéret;Joseph Nagy
DR-215;Hallgatás és Szavak;William Jones
DR-216;Szerelem és Emlékezet;Katalin Horváth
DR-217;Találkozás és Visszhang;David Nagy
DR-218;Út és Emlékezet;László Harris
DR-219;Hallgatás és Áldozat;Katalin Rodriguez
DR-220;Út és Otthon;Richard Farkas
DR-221;Otthon és Búcsú;Mária Jackson
DR-222;Áldozat és Igazság;Isabella Martin
DR-223;Út és Titkok;István Moore
DR-224;Fájdalom és Hallgatás;Sophia Varga
DR-225;Visszatérés és Titkok;Katalin Kiss
DR-226;Gyász és Sors;Judit Moore
DR-227;Választás és Idegen;Robert Smith
DR-228;Bűn és Veszteség;William Martinez
DR-229;Áldozat és Áldozat;István Martinez
DR-230;Sors és Család;István Taylor
DR-231;Választás és Út;Emma Miller
DR-232;Árulás és Fájdalom;Éva Moore
DR-233;Család és Szavak;William Lee
DR-234;Könnyek és Emlékezet;David Miller
DR-235;Választás és Út;Ágnes Davis
DR-236;Szerelem és Búcsú;Thomas Horváth
DR-237;Könnyek és Visszhang;Isabella Varga
DR-238;Könnyek és Szavak;Gábor Tóth
DR-239;Emlékezet és Igazság;Sophia Taylor
DR-240;Szerelem és Gyász;Zsuzsanna Harris
DR-241;Idegen és Család;William Jackson
DR-242;Szavak és Remény;Sophia Nagy
DR-243;Gyász és Hazugság;David Nagy
DR-244;Búcsú és Gyász;Emma Moore
DR-245;Út és Visszatérés;Judit Smith
DR-246;Hallgatás és Visszhang;András Martinez
DR-247;Könnyek és Titkok;Richard Garcia
DR-248;Hallgatás és Titkok;Eszter Miller
DR-249;Remény és Könnyek;Judit Nagy
DR-250;Veszteség és Bocsánat;István Taylor
DR-251;Szavak és Fájdalom;Judit Lee
DR-252;Igazság és Titkok;Mária Németh
DR-253;Igazság és Gyász;James Smith
DR-254;Választás és Hallgatás;Sophia Garcia
DR-255;Titkok és Búcsú;Charlotte Kiss
DR-256;Árulás és Találkozás;Joseph Taylor
DR-257;Hallgatás és Sors;Mihály Jones
DR-258;Árulás és Bűn;Katalin Németh
DR-259;Visszatérés és Bocsánat;János Tóth
DR-260;Szenvedély és Könnyek;Richard Smith
DR-261;Választás és Remény;James Davis
DR-262;Otthon és Gyász;Eszter Anderson
DR-263;Otthon és Hallgatás;Éva Kovács
DR-264;Ígéret és Bűn;Sophia Jones
DR-265;Hazugság és Szavak;Isabella Thompson
DR-266;Idegen és Szerelem;Mihály Jones
DR-267;Választás és Család;András Jones
DR-268;Bocsánat és Ígéret;Péter White
DR-269;Fájdalom és Visszhang;Olivia Lee
DR-270;Búcsú és Idegen;Michael Martin
DR-271;Igazság és Sors;András Anderson
DR-272;Remény és Hazugság;Anna Moore
DR-273;Hazugság és Szavak;Anna Szabó
DR-274;Igazság és Fájdalom;Mihály Johnson
DR-275;Bocsánat és Remény;János White
DR-276;Szavak és Szavak;Katalin Nagy
DR-277;Emlékezet és Otthon;Charlotte Rodriguez
DR-278;Sors és Szenvedély;Thomas Martinez
DR-279;Választás és Veszteség;Isabella Varga
DR-280;Választás és Visszhang;Isabella Thomas
DR-281;Otthon és Áldozat;Mária Kiss
DR-282;Otthon és Ígéret;Robert Miller
DR-283;Szenvedély és Szavak;Richard Jones
DR-284;Szavak és Bocsánat;Robert Miller
DR-285;Találkozás és Áldozat;Richard Brown
DR-286;Emlékezet és Ígéret;Richard Davis
DR-287;Gyász és Választás;James Rodriguez
DR-288;Emlékezet és Hazugság;Isabella Molnár
DR-289;Fájdalom és Szerelem;Ágnes Szabó
DR-290;Idegen és Választás;Gábor Németh
DR-291;Veszteség és Szerelem;Olivia Jones
DR-292;Veszteség és Szavak;László Thomas
DR-293;Találkozás és Gyász;Olivia Szabó
DR-294;Igazság és Búcsú;Isabella Anderson
DR-295;Szavak és Hallgatás;William Molnár
DR-296;Veszteség és Szerelem;István Williams
DR-297;Szavak és Gyász;László Taylor
DR-298;Fájdalom és Bocsánat;András Rodriguez
DR-299;Búcsú és Bocsánat;Sophia Thompson
DR-300;Szerelem és Bocsánat;János Martin
DR-301;Találkozás és Könnyek;István Martinez
DR-302;Búcsú és Búcsú;Péter White
DR-303;Emlékezet és Választás;Péter Nagy
DR-304;Fájdalom és Választás;Katalin Martinez
DR-305;Idegen és Találkozás;Eszter Thomas
DR-306;Igazság és Otthon;Sophia Brown
DR-307;Hallgatás és Igazság;Joseph Taylor
DR-308;Visszatérés és Gyász;Sophia Kiss
DR-309;Út és Könnyek;William Brown
DR-310;Búcsú és Gyász;David Varga
DR-311;Hazugság és Hazugság;Péter Williams
DR-312;Hallgatás és Idegen;Gábor Rodriguez
DR-313;Sors és Áldozat;David Taylor
DR-314;Szerelem és Bocsánat;Péter Davis
DR-315;Veszteség és Bűn;David Anderson
DR-316;Titkok és Sors;Zsuzsanna Nagy
DR-317;Hallgatás és Sors;Thomas Kiss
DR-318;Szavak és Igazság;Gábor Garcia
DR-319;Család és Hallgatás;Emma Jones
DR-320;Visszhang és Áldozat;Eszter Rodriguez
DR-321;Hazugság és Könnyek;Zsuzsanna Rodriguez
DR-322;Veszteség és Visszatérés;Thomas Miller
DR-323;Ígéret és Igazság;Zsuzsanna Varga
DR-324;Ígéret és Idegen;Charlotte Moore
DR-325;Út és Találkozás;Michael Davis
DR-326;Család és Bocsánat;Amelia Taylor
DR-327;Idegen és Választás;Charlotte Rodriguez
DR-328;Hazugság és Emlékezet;Mihály Moore
DR-329;Visszhang és Hazugság;James Horváth
DR-330;Gyász és Igazság;Isabella Farkas
DR-331;Idegen és Búcsú;Eszter Garcia
DR-332;Ígéret és Fájdalom;István Rodriguez
DR-333;Gyász és Emlékezet;Joseph White
DR-334;Visszhang és Sors;Charlotte Szabó
DR-335;Hallgatás és Remény;István Molnár
DR-336;Hazugság és Titkok;Zsuzsanna Martin
DR-337;Út és Bocsánat;Zsuzsanna Johnson
DR-338;Sors és Bűn;Éva Brown
DR-339;Visszatérés és Emlékezet;James Anderson
DR-340;Út és Igazság;János Molnár
DR-341;Szenvedély és Szerelem;Amelia Moore
DR-342;Hallgatás és Találkozás;János Taylor
DR-343;Hallgatás és Bűn;Ava Farkas
DR-344;Titkok és Család;Mihály Thomas
DR-345;Könnyek és Bocsánat;William Jackson
DR-346;Szenvedély és Remény;Ágnes Davis
DR-347;Visszhang és Bocsánat;Ágnes Smith
DR-348;Veszteség és Út;Mihály Lee
DR-349;Választás és Szenvedély;Zsuzsanna Jackson
DR-350;Emlékezet és Áldozat;Zsuzsanna Tóth
DR-351;Emlékezet és Igazság;László Horváth
DR-352;Ígéret és Idegen;Thomas Smith
DR-353;Szerelem és Visszhang;János Johnson
DR-354;Veszteség és Könnyek;Michael Davis
DR-355;Szerelem és Szavak;Sophia Rodriguez
DR-356;Gyász és Gyász;Robert Davis
DR-357;Fájdalom és Ígéret;Robert Miller
DR-358;Könnyek és Szavak;Charlotte Taylor
DR-359;Szavak és Bűn;László Miller
DR-360;Választás és Árulás;Amelia Thompson
DR-361;Hazugság és Könnyek;Anna Davis
DR-362;Titkok és Szavak;Charlotte Németh
DR-363;Veszteség és Árulás;William Brown
DR-364;Bocsánat és Fájdalom;István Harris
DR-365;Család és Sors;Isabella Nagy
DR-366;Veszteség és Gyász;Mária Miller
DR-367;Visszatérés és Család;Robert Szabó
DR-368;Titkok és Könnyek;Robert Molnár
DR-369;Emlékezet és Gyász;István Varga
DR-370;Bűn és Választás;Zsuzsanna Thomas
DR-371;Szavak és Ígéret;István Farkas
DR-372;Szerelem és Hallgatás;Mária Varga
DR-373;Bocsánat és Út;Robert Johnson
DR-374;Emlékezet és Ígéret;Michael Németh
DR-375;Veszteség és Fájdalom;Mária Kiss
DR-376;Fájdalom és Otthon;David Szabó
DR-377;Bűn és Árulás;Judit Németh
DR-378;Visszatérés és Remény;Richard Davis
DR-379;Szerelem és Út;Charlotte Miller
DR-380;Út és Hallgatás;Mihály Garcia
DR-381;Hallgatás és Idegen;Anna Johnson
DR-382;Ígéret és Szenvedély;Mihály Jones
DR-383;Találkozás és Szenvedély;Emma Farkas
DR-384;Szerelem és Fájdalom;István Martin
DR-385;Család és Sors;David Martinez
DR-386;Sors és Titkok;William Brown
DR-387;Hazugság és Titkok;Mihály Taylor
DR-388;Hallgatás és Búcsú;Gábor Molnár
DR-389;Könnyek és Ígéret;András Rodriguez
DR-390;Idegen és Ígéret;Eszter Horváth
DR-391;Bocsánat és Veszteség;István Tóth
DR-392;Szavak és Veszteség;Charlotte Martinez
DR-393;Emlékezet és Szerelem;Anna Taylor
DR-394;Bocsánat és Visszatérés;Eszter Miller
DR-395;Visszatérés és Választás;István Garcia
DR-396;Visszhang és Könnyek;Joseph Martin
DR-397;Fájdalom és Könnyek;Mária Taylor
DR-398;Út és Hallgatás;Sophia White
DR-399;Találkozás és Család;Robert Kovács
DR-400;Remény és Fájdalom;Joseph Garcia
DR-401;Emlékezet és Hallgatás;Joseph Moore
DR-402;Szavak és Sors;András Martinez
DR-403;Visszatérés és Bűn;Joseph Horváth
DR-404;Áldozat és Remény;Charlotte Molnár
DR-405;Gyász és Szerelem;Mária White
DR-406;Titkok és Szerelem;Éva Brown
DR-407;Igazság és Választás;James Jackson
DR-408;Sors és Titkok;Amelia Brown
DR-409;Szavak és Bűn;Ágnes Kovács
DR-410;Visszatérés és Könnyek;István White
DR-411;Áldozat és Idegen;David Jones
DR-412;Veszteség és Hazugság;Joseph Farkas
DR-413;Igazság és Árulás;Ava Varga
DR-414;Búcsú és Gyász;Éva Rodriguez
DR-415;Hazugság és Bűn;Judit Garcia
DR-416;Könnyek és Választás;Richard Thompson
DR-417;Könnyek és Szerelem;Charlotte Thomas
DR-418;Fájdalom és Idegen;Thomas White
DR-419;Veszteség és Fájdalom;Mária Miller
DR-420;Visszatérés és Szenvedély;Thomas Miller
DR-421;Hallgatás és Gyász;Charlotte Farkas
DR-422;Bűn és Visszatérés;Eszter Nagy
DR-423;Hallgatás és Fájdalom;Amelia Varga
DR-424;Találkozás és Szenvedély;Sophia Moore
DR-425;Szerelem és Út;Robert Moore
DR-426;Választás és Emlékezet;Mária Rodriguez
DR-427;Veszteség és Visszatérés;Olivia Moore
DR-428;Hallgatás és Találkozás;Katalin Kovács
DR-429;Bocsánat és Remény;János Thomas
DR-430;Család és Út;Katalin Harris
DR-431;Hallgatás és Áldozat;János Jones
DR-432;Veszteség és Út;János Johnson
DR-433;Bűn és Idegen;Éva Brown
DR-434;Emlékezet és Igazság;Éva Taylor
DR-435;Választás és Találkozás;Michael Tóth
DR-436;Szavak és Idegen;William Brown
DR-437;Idegen és Titkok;Isabella Martinez
DR-438;Emlékezet és Szerelem;Judit Thompson
DR-439;Ígéret és Bocsánat;William Williams
DR-440;Hazugság és Bocsánat;Charlotte Miller
DR-441;Bocsánat és Hazugság;Robert Németh
DR-442;Idegen és Ígéret;Péter Brown
DR-443;Szerelem és Hallgatás;János Farkas
DR-444;Fájdalom és Választás;Anna Davis
DR-445;Fájdalom és Igazság;András Jackson
DR-446;Hallgatás és Választás;Olivia White
DR-447;Bűn és Könnyek;Richard Williams
DR-448;Bűn és Sors;Eszter Tóth
DR-449;Hallgatás és Család;Mihály Kovács
DR-450;Szerelem és Hallgatás;Ava Rodriguez
DR-451;Választás és Fájdalom;Mária Horváth
DR-452;Otthon és Veszteség;László Tóth
DR-453;Veszteség és Visszatérés;Emma Kovács
DR-454;Bűn és Könnyek;Mária Brown
DR-455;Hallgatás és Könnyek;Amelia Kiss
DR-456;Ígéret és Veszteség;Amelia Kiss
DR-457;Szenvedély és Otthon;Katalin Johnson
DR-458;Remény és Visszatérés;Ágnes Rodriguez
DR-459;Könnyek és Könnyek;Ágnes Brown
DR-460;Hallgatás és Választás;András Smith
DR-461;Fájdalom és Remény;Eszter Jackson
DR-462;Áldozat és Idegen;Judit Nagy
DR-463;Titkok és Árulás;Olivia Thompson
DR-464;Szenvedély és Sors;Robert Jackson
DR-465;Otthon és Visszatérés;Richard Thomas
DR-466;Sors és Találkozás;Isabella Anderson
DR-467;Hazugság és Könnyek;András Brown
DR-468;Emlékezet és Szerelem;Olivia Taylor
DR-469;Veszteség és Visszhang;Eszter Martin
DR-470;Választás és Áldozat;Robert Molnár
DR-471;Sors és Szenvedély;Mihály Varga
DR-472;Könnyek és Bűn;Mária Williams
DR-473;Búcsú és Bocsánat;Gábor Tóth
DR-474;Visszhang és Árulás;Katalin Lee
DR-475;Szerelem és Idegen;Michael Thompson
DR-476;Család és Búcsú;Mária Kiss
DR-477;Otthon és Árulás;James Harris
DR-478;Visszatérés és Család;Robert Thompson
DR-479;Választás és Idegen;Robert Thompson
DR-480;Otthon és Visszhang;Isabella Johnson
DR-481;Hallgatás és Könnyek;Isabella Moore
DR-482;Árulás és Könnyek;Eszter Williams
DR-483;Titkok és Szavak;William White
DR-484;Veszteség és Visszhang;Richard Németh
DR-485;Hallgatás és Remény;Ágnes Anderson
DR-486;Visszatérés és Idegen;Charlotte Thompson
DR-487;Árulás és Idegen;Judit Smith
DR-488;Titkok és Út;James Brown
DR-489;Sors és Út;Éva Rodriguez
DR-490;Hazugság és Bocsánat;Charlotte Molnár
DR-491;Bűn és Választás;Robert Johnson
DR-492;Visszatérés és Emlékezet;Olivia Williams
DR-493;Visszatérés és Árulás;Ágnes Miller
DR-494;Emlékezet és Hallgatás;Isabella Anderson
DR-495;Hazugság és Hallgatás;Judit Anderson
DR-496;Szerelem és Ígéret;András Thomas
DR-497;Találkozás és Otthon;Anna Martinez
DR-498;Búcsú és Remény;Charlotte Lee
DR-499;Búcsú és Ígéret;István Farkas
DR-500;Veszteség és Remény;Mihály White
DR-501;Bűn és Otthon;Eszter White
DR-502;Bűn és Család;Joseph Miller
DR-503;Igazság és Fájdalom;Zsuzsanna Johnson
DR-504;Igazság és Áldozat;Thomas Johnson
DR-505;Visszhang és Szavak;Eszter Miller
DR-506;Szavak és Idegen;David Molnár
DR-507;Szavak és Gyász;Mária Lee
DR-508;Sors és Gyász;Katalin Farkas
DR-509;Ígéret és Visszhang;Éva Jackson
DR-510;Visszhang és Otthon;Thomas Jones
DR-511;Szerelem és Bűn;Ava Anderson
DR-512;Szavak és Emlékezet;Robert Thompson
DR-513;Választás és Remény;Charlotte Anderson
DR-514;Ígéret és Titkok;Isabella Jackson
DR-515;Árulás és Gyász;István Thompson
DR-516;Igazság és Szenvedély;János Kovács
DR-517;Választás és Szenvedély;Judit Kovács
DR-518;Család és Búcsú;Judit Williams
DR-519;Visszatérés és Titkok;Éva Brown
DR-520;Búcsú és Hazugság;Zsuzsanna Williams
DR-521;Visszatérés és Veszteség;Olivia Harris
DR-522;Család és Szenvedély;Sophia Farkas
DR-523;Út és Találkozás;Ágnes Molnár
DR-524;Igazság és Áldozat;Ava Kiss
DR-525;Szerelem és Választás;András Smith
DR-526;Út és Bocsánat;Gábor Thompson
DR-527;Áldozat és Út;Charlotte Szabó
DR-528;Család és Idegen;János Harris
DR-529;Igazság és Szerelem;Isabella Williams
DR-530;Visszatérés és Könnyek;András Molnár
DR-531;Szerelem és Könnyek;Richard Horváth
DR-532;Szavak és Visszhang;Emma Kiss
DR-533;Gyász és Bűn;Péter Horváth
DR-534;Gyász és Szerelem;János Molnár
DR-535;Bűn és Sors;Zsuzsanna Molnár
DR-536;Veszteség és Otthon;Emma Harris
DR-537;Visszhang és Visszatérés;Joseph Kiss
DR-538;Ígéret és Hallgatás;Emma Thomas
DR-539;Búcsú és Fájdalom;Joseph Molnár
DR-540;Hazugság és Visszatérés;Anna Varga
DR-541;Árulás és Sors;Éva White
DR-542;Áldozat és Szenvedély;Olivia Molnár
DR-543;Otthon és Szerelem;Ava Davis
DR-544;Család és Remény;István Smith
DR-545;Titkok és Találkozás;Thomas Jackson
DR-546;Áldozat és Visszatérés;Anna Rodriguez
DR-547;Sors és Igazság;Charlotte Nagy
DR-548;Szerelem és Hallgatás;James Lee
DR-549;Hazugság és Igazság;Charlotte Nagy
DR-550;Búcsú és Sors;Olivia Harris
DR-551;Út és Visszhang;László Johnson
DR-552;Gyász és Áldozat;Zsuzsanna Thompson
DR-553;Emlékezet és Idegen;Olivia Williams
DR-554;Szerelem és Sors;Eszter Kovács
DR-555;Út és Szavak;Anna Anderson
DR-556;Választás és Bocsánat;Katalin Kovács
DR-557;Áldozat és Veszteség;Charlotte Garcia
DR-558;Bűn és Titkok;Amelia Harris
DR-559;Otthon és Árulás;Robert Rodriguez
DR-560;Otthon és Otthon;Richard Jackson
DR-561;Találkozás és Áldozat;Michael Williams
DR-562;Árulás és Fájdalom;Amelia White
DR-563;Idegen és Fájdalom;Anna Brown
DR-564;Út és Szerelem;Mihály Rodriguez
DR-565;Remény és Hazugság;Michael Martin
DR-566;Bűn és Gyász;János Tóth
DR-567;Visszhang és Találkozás;Sophia Farkas
DR-568;Igazság és Visszatérés;Mihály Szabó
DR-569;Titkok és Remény;János Taylor
DR-570;Szerelem és Visszatérés;Richard Nagy
DR-571;Szavak és Áldozat;David Davis
DR-572;Áldozat és Bűn;Thomas Harris
DR-573;Búcsú és Könnyek;William Smith
DR-574;Szerelem és Áldozat;Thomas Smith
DR-575;Titkok és Visszatérés;Mária Miller
DR-576;Idegen és Találkozás;David Taylor
DR-577;Titkok és Hallgatás;Ágnes Moore
DR-578;Áldozat és Út;Sophia Thompson
DR-579;Szerelem és Gyász;Ava Miller
DR-580;Találkozás és Titkok;Richard Kiss
DR-581;Idegen és Szavak;Amelia Brown
DR-582;Sors és Szerelem;Mária Williams
DR-583;Visszhang és Találkozás;Judit Lee
DR-584;Bocsánat és Bűn;Richard Jones
DR-585;Veszteség és Búcsú;Emma Anderson
DR-586;Hazugság és Út;David Johnson
DR-587;Visszatérés és Bocsánat;Thomas Jones
DR-588;Hazugság és Remény;Olivia Miller
DR-589;Szavak és Otthon;Eszter Anderson
DR-590;Visszatérés és Visszatérés;László White
DR-591;Otthon és Hazugság;Katalin Horváth
DR-592;Választás és Remény;Olivia Nagy
DR-593;Hazugság és Visszatérés;James Anderson
DR-594;Árulás és Visszatérés;Isabella Garcia
DR-595;Búcsú és Visszatérés;Michael Kiss
DR-596;Fájdalom és Visszhang;Olivia Martin
DR-597;Bűn és Család;David Taylor
DR-598;Remény és Választás;Richard Németh
DR-599;Bocsánat és Visszatérés;Joseph Thompson
DR-600;Bocsánat és Választás;Judit Taylor
DR-601;Bűn és Veszteség;Zsuzsanna Horváth
DR-602;Bocsánat és Áldozat;Eszter Jackson
DR-603;Bocsánat és Család;Gábor Thomas
DR-604;Veszteség és Áldozat;Éva Anderson
DR-605;Visszatérés és Választás;András Szabó
DR-606;Árulás és Otthon;Mária Davis
DR-607;Áldozat és Gyász;Mária Williams
DR-608;Otthon és Bűn;David Nagy
DR-609;Búcsú és Sors;James Kovács
DR-610;Veszteség és Búcsú;Éva Miller
DR-611;Idegen és Idegen;Olivia Brown
DR-612;Találkozás és Sors;Péter Thompson
DR-613;Visszatérés és Titkok;Gábor Anderson
DR-614;Szavak és Otthon;Richard Nagy
DR-615;Könnyek és Remény;István Farkas
DR-616;Szenvedély és Út;Katalin Rodriguez
DR-617;Hazugság és Emlékezet;Gábor Martinez
DR-618;Igazság és Család;William Thomas
DR-619;Titkok és Árulás;László Davis
DR-620;Árulás és Idegen;András Anderson
DR-621;Veszteség és Bocsánat;Amelia Martin
DR-622;Család és Titkok;David Martin
DR-623;Ígéret és Idegen;István Martin
DR-624;Bocsánat és Hazugság;Judit Molnár
DR-625;Titkok és Hazugság;István Jackson
DR-626;Könnyek és Találkozás;Ava Brown
DR-627;Idegen és Fájdalom;Gábor Szabó
DR-628;Találkozás és Igazság;László Németh
DR-629;Remény és Választás;Péter Anderson
DR-630;Bűn és Hazugság;Isabella Szabó
DR-631;Szavak és Ígéret;Éva Rodriguez
DR-632;Árulás és Áldozat;Sophia Johnson
DR-633;Szenvedély és Idegen;Zsuzsanna Kovács
DR-634;Választás és Könnyek;Gábor Miller
DR-635;Visszhang és Veszteség;Mihály Jackson
DR-636;Sors és Szenvedély;Amelia Molnár
DR-637;Szenvedély és Idegen;Thomas Davis
DR-638;Út és Árulás;Mihály Martinez
DR-639;Gyász és Könnyek;Emma Moore
DR-640;Visszatérés és Szerelem;Éva Taylor
DR-641;Hallgatás és Szenvedély;Gábor Farkas
DR-642;Gyász és Hazugság;Olivia Rodriguez
DR-643;Könnyek és Választás;Gábor Farkas
DR-644;Árulás és Szerelem;Emma Németh
DR-645;Út és Szavak;Ágnes Jackson
DR-646;Könnyek és Könnyek;Katalin Williams
DR-647;Gyász és Gyász;James Thomas
DR-648;Búcsú és Idegen;David Williams
DR-649;Család és Sors;Olivia Jones
DR-650;Választás és Szerelem;János Brown
DR-651;Otthon és Remény;Ágnes Szabó
DR-652;Bocsánat és Találkozás;Emma Jones
DR-653;Veszteség és Búcsú;David Smith
DR-654;Választás és Remény;László Molnár
DR-655;Választás és Bocsánat;Emma Martin
DR-656;Hallgatás és Út;Eszter Garcia
DR-657;Hallgatás és Árulás;Judit Garcia
DR-658;Otthon és Ígéret;Zsuzsanna Brown
DR-659;Igazság és Gyász;Mária Kiss
DR-660;Visszatérés és Igazság;István Miller
DR-661;Szerelem és Titkok;Ava Kovács
DR-662;Család és Család;Péter Martinez
DR-663;Visszhang és Találkozás;Sophia Williams
DR-664;Könnyek és Idegen;Éva Horváth
DR-665;Könnyek és Találkozás;László Lee
DR-666;Idegen és Idegen;Mihály Németh
DR-667;Fájdalom és Fájdalom;Amelia Tóth
DR-668;Gyász és Ígéret;János Rodriguez
DR-669;Remény és Veszteség;Richard Tóth
DR-670;Bocsánat és Szenvedély;Éva Nagy
DR-671;Emlékezet és Szenvedély;David Thompson
DR-672;Remény és Visszhang;William Varga
DR-673;Veszteség és Remény;Sophia Thomas
DR-674;Emlékezet és Hazugság;Mária Jackson
DR-675;Sors és Út;Anna Kovács
DR-676;Otthon és Visszhang;Isabella Németh
DR-677;Titkok és Választás;Olivia Kiss
DR-678;Gyász és Szenvedély;Olivia Kovács
DR-679;Árulás és Veszteség;Sophia Thomas
DR-680;Visszhang és Emlékezet;Robert Smith
DR-681;Szenvedély és Remény;Charlotte Kiss
DR-682;Áldozat és Szenvedély;Zsuzsanna Kiss
DR-683;Otthon és Visszatérés;Zsuzsanna Kovács
DR-684;Út és Titkok;Mária Miller
DR-685;Bocsánat és Gyász;Thomas Anderson
DR-686;Visszhang és Visszatérés;László Jackson
DR-687;Bűn és Fájdalom;Thomas Garcia
DR-688;Szenvedély és Árulás;Amelia White
DR-689;Ígéret és Igazság;István Martinez
DR-690;Visszatérés és Igazság;Joseph Williams
DR-691;Család és Otthon;David Smith
DR-692;Otthon és Család;Thomas Horváth
DR-693;Idegen és Választás;Richard Lee
DR-694;Fájdalom és Búcsú;István Horváth
DR-695;Gyász és Gyász;Robert Németh
DR-696;Veszteség és Ígéret;András Johnson
DR-697;Otthon és Búcsú;Emma Jones
DR-698;Remény és Gyász;Isabella Martinez
DR-699;Visszhang és Veszteség;László Brown
DR-700;Igazság és Ígéret;Judit Garcia
DR-701;Fájdalom és Igazság;Isabella Moore
DR-702;Szerelem és Igazság;James Kovács
DR-703;Gyász és Szerelem;Anna Miller
DR-704;Út és Emlékezet;Anna White
DR-705;Sors és Veszteség;Isabella Johnson
DR-706;Titkok és Könnyek;Katalin Jones
DR-707;Otthon és Gyász;David Thompson
DR-708;Árulás és Könnyek;Thomas Tóth
DR-709;Visszhang és Emlékezet;Michael Moore
DR-710;Búcsú és Áldozat;András White
DR-711;Bűn és Idegen;Judit Nagy
DR-712;Találkozás és Búcsú;Isabella Miller
DR-713;Emlékezet és Otthon;Mihály Brown
DR-714;Hazugság és Áldozat;Richard Nagy
DR-715;Otthon és Választás;Ava Rodriguez
DR-716;Család és Gyász;David Taylor
DR-717;Hallgatás és Szavak;Charlotte Miller
DR-718;Bűn és Szenvedély;Amelia Martin
DR-719;Találkozás és Búcsú;Charlotte Johnson
DR-720;Út és Család;Mihály Lee
DR-721;Bocsánat és Titkok;Richard Taylor
DR-722;Könnyek és Visszhang;János Martin
DR-723;Szenvedély és Árulás;Éva Horváth
DR-724;Visszhang és Búcsú;Eszter Smith
DR-725;Gyász és Bocsánat;András Molnár
DR-726;Árulás és Út;Éva Horváth
DR-727;Veszteség és Idegen;Judit Brown
DR-728;Út és Igazság;János Taylor
DR-729;Áldozat és Fájdalom;Ágnes Moore
DR-730;Találkozás és Emlékezet;James Johnson
DR-731;Bűn és Hallgatás;Mihály Davis
DR-732;Búcsú és Búcsú;Robert Nagy
DR-733;Választás és Fájdalom;David Lee
DR-734;Gyász és Bűn;Zsuzsanna Moore
DR-735;Sors és Igazság;Isabella Kiss
DR-736;Szerelem és Találkozás;István Smith
DR-737;Visszhang és Hazugság;Zsuzsanna Davis
DR-738;Veszteség és Fájdalom;William Thompson
DR-739;Szenvedély és Veszteség;András Taylor
DR-740;Visszatérés és Szavak;Emma Thompson
DR-741;Út és Veszteség;Thomas Garcia
DR-742;Könnyek és Szenvedély;Péter Kovács
DR-743;Út és Ígéret;András Varga
DR-744;Ígéret és Idegen;Mihály Smith
DR-745;Bűn és Sors;Thomas Davis
DR-746;Ígéret és Szenvedély;David Varga
DR-747;Titkok és Visszhang;László Jackson
DR-748;Bocsánat és Árulás;Péter Horváth
DR-749;Család és Titkok;Anna Thomas
DR-750;Titkok és Fájdalom;Mihály Jackson
DR-751;Szerelem és Választás;Péter Lee
DR-752;Szerelem és Bűn;David Lee
DR-753;Emlékezet és Búcsú;László Garcia
DR-754;Választás és Remény;William Kiss
DR-755;Titkok és Bűn;László Moore
DR-756;Szavak és Emlékezet;Zsuzsanna Thompson
DR-757;Út és Fájdalom;Emma Farkas
DR-758;Visszhang és Bocsánat;Joseph Kovács
DR-759;Gyász és Titkok;János Farkas
DR-760;Hazugság és Sors;Charlotte Lee
DR-761;Árulás és Veszteség;Éva Szabó
DR-762;Veszteség és Búcsú;Olivia Farkas
DR-763;Szenvedély és Bocsánat;András Molnár
DR-764;Búcsú és Visszhang;William Farkas
DR-765;Ígéret és Hazugság;Judit Brown
DR-766;Hazugság és Bocsánat;Mária Martinez
DR-767;Visszhang és Visszhang;Isabella Moore
DR-768;Választás és Búcsú;Emma Kiss
DR-769;Választás és Árulás;Gábor Tóth
DR-770;Visszhang és Szavak;Péter Jackson
